gene_id	gene_name	MM1S monoculture-1	MM1S monoculture-2	MM1S monoculture-3	MM1S cocultured-1	MM1S cocultured-2	MM1S cocultured-3
ENSG00000142168	SOD1	7576.793094843365	7360.049241471169	7310.853218080287	8912.09305542152	8815.858402229742	8498.04954063643
ENSG00000142178	SIK1	645.6624418746228	761.7200746987136	590.0858587235575	408.1607237175851	447.83125415209	451.68585966523756
ENSG00000142186	SCYL1	2732.9332669003434	2778.371944454839	2692.033801797788	1830.5920870595555	1756.1333464053453	1603.5982907210569
ENSG00000142188	TMEM50B	1182.7868008479081	1271.9670682934855	1465.8975016711536	1654.5399294045455	1669.1892200214265	1904.3439007996699
ENSG00000142192	APP	10181.707084475463	9242.04133231357	10021.521310153556	11483.680791118579	11587.029922529886	11932.223941005797
ENSG00000142197	DOP1B	812.6441078766804	789.300993271404	918.049367572019	643.7728153056331	662.4314391155723	655.9658966997671
ENSG00000142207	URB1	6114.31200344201	5697.082092235426	5923.219735566153	4392.545127561565	4327.885402221739	4489.621258381105
ENSG00000142208	AKT1	2547.8619204147294	2337.077247291793	2255.991409351538	1601.987046522453	1542.2231941909417	1451.523152039796
ENSG00000142227	EMP3	2030.2187558083506	1797.6269281494667	1761.5615740421151	1245.5033243055923	1262.0698980649809	1109.9215345542773
ENSG00000142230	SAE1	6339.737252544788	6098.627818514301	6509.578736234614	6830.998893290657	6983.131420676658	7226.973754643801
ENSG00000142235	LMTK3	61.22661086742113	94.09960454212009	84.47544924884613	35.035255254728334	35.8817029520935	23.83267098736178
ENSG00000142252	GEMIN7	452.24201208890605	447.78432506250255	498.1566933645191	252.253837834044	247.03172417018217	232.65226440043642
ENSG00000142279	WTIP	57.05206921736969	44.61619180876384	74.53716110192306	19.269390390100583	26.911277214070125	18.158225514180405
ENSG00000142327	RNPEPL1	2685.6217948664266	2533.388491250354	2643.5846470815377	1107.9899474307836	1078.5211868100412	1064.5259707688263
ENSG00000142330	CAPN10	971.2766905786352	804.7138595326132	841.0276344333652	534.2876426346071	535.4654132850876	450.5509705706013
ENSG00000142347	MYO1F	894.7434269943587	760.9088712112815	770.2173313865383	918.7995690552506	925.3339165145651	873.8646028699319
ENSG00000142396	ERVK3-1	431.3693038386489	424.2594239269725	485.7338331808653	446.6995044977862	454.73158164287725	502.75586892386997
ENSG00000142409	ZNF787	1641.9863823535666	1522.628945909995	1448.5054974140382	851.3567026898985	856.3306416066929	804.6363680971192
ENSG00000142444	TIMM29	766.7241497261145	679.7885224680745	698.164742321346	401.1536726666394	397.4588634693434	388.1320703656061
ENSG00000142453	CARM1	2721.8011558335393	2361.4133519147554	2570.28977199798	1665.050505980964	1659.5287615343243	1540.0445014214256
ENSG00000142459	EVI5L	602.5255114907579	485.09968548437774	561.5132803011537	266.2679399359353	269.80280488977996	238.3267098736178
ENSG00000142507	PSMB6	3964.423053665518	3583.0858039874524	3623.748315571826	3348.4945209706602	3285.245918363791	3313.876156337924
ENSG00000142513	ACP4	52.877527567318246	43.80498832133177	45.96458267951922	13.138220720523124	12.42058948341698	11.348890946362753
ENSG00000142528	ZNF473	375.7087485046297	362.6079588821352	428.58867633605763	372.2495870814885	403.66915821105187	388.1320703656061
ENSG00000142534	RPS11	21800.848010451973	20907.147481586733	21154.88860674413	24538.692780411726	24587.93694792207	24367.203750935467
ENSG00000142541	RPL13A	27288.978766386266	25212.20438938873	25086.72385487057	25875.28776837961	26249.53580770363	25589.479305858735
ENSG00000142544	CTU1	603.9170253741084	507.8133831324757	570.2092824297114	251.3779564526758	271.8729031370161	254.21515719852565
