gene_id	gene_name	status	log2FoldChange	padj	pvalue	baseMean	mean_MM1S_coculture	mean_MM1S_monoculture
ENSG00000244124	ATP1B3-AS1	up	2.0323616385211074	0.08289598057121456	0.0150388419124567	26.316323797673288	42.597312110645824	10.03533548470075
ENSG00000175866	BAIAP2	up	2.1605941395522033	0.08289598057121456	0.009646123043496619	290.21461481164766	474.65426133502666	105.77496828826877
ENSG00000237758	BANF1P3	up	3.0766815738244153	0.08289598057121456	0.011407711630451657	9.829131307768224	17.969125827532423	1.689136788004025
ENSG00000184515	BEX5	up	1.067146989773765	0.08289598057121456	0.02216746290785117	140.33775549628194	190.1740538635107	90.50145712905321
ENSG00000170819	BFSP2	up	1.4380495899396664	0.08289598057121456	0.020875150563050473	47.89411440881705	70.19654407380169	25.591684743832403
ENSG00000180828	BHLHE22	up	1.2126530298113183	0.08289598057121456	0.026688002069210823	98.92021100854289	138.40602434081322	59.43439767627259
ENSG00000159388	BTG2	up	1.1546781987958394	0.08289598057121456	0.018892708510572755	11584.411004873213	15987.87965045403	7180.942359292395
ENSG00000182993	C12orf60	up	1.3046612679756107	0.08289598057121456	0.030150867419578016	31.707844501050406	45.35346577952575	18.06222322257507
ENSG00000166845	C18orf54	up	1.1463351522714185	0.08289598057121456	0.020225154377214234	824.3767412600495	1135.8727665739145	512.8807159461843
ENSG00000237651	C2orf74	up	1.22228144347713	0.08289598057121456	0.02897433424090971	20.823098665060133	29.35164921219508	12.294548117925183
ENSG00000275356	C7orf77	up	2.7200016709495456	0.08289598057121456	0.03401410774447901	8.832391810386838	15.705245670292294	1.959537950481381
ENSG00000217241	CBX3P9	up	1.4540541769302737	0.08289598057121456	0.021471574171982945	33.01194828673122	48.60196091916547	17.42193565429696
ENSG00000176714	CCDC121	up	1.0234639445202571	0.08289598057121456	0.023270099489185955	59.19092074502287	79.5181900843928	38.86365140565294
ENSG00000242715	CCDC169	up	2.1474665842316374	0.08289598057121456	0.012762758972917388	36.274531844287964	59.50534103366789	13.043722654908047
ENSG00000122483	CCDC18	up	1.0773241212071665	0.08289598057121456	0.02072162886741249	592.7458981707484	804.4977343311084	380.9940620103883
ENSG00000188549	CCDC9B	up	1.8616163889745998	0.08289598057121456	0.02724466211061433	11.773557059575424	18.75010491761613	4.797009201534718
ENSG00000118971	CCND2	up	1.0028651972307865	0.08289598057121456	0.02015433470186709	24445.008952196305	32615.082062097204	16274.93584229541
ENSG00000138764	CCNG2	up	1.0315448209260096	0.08289598057121456	0.021207355639995196	595.0003003634498	799.2661527121136	390.7344480147862
ENSG00000121807	CCR2	up	2.8093306266761657	0.08289598057121456	0.00412636650050674	302.70303464077574	530.1960939371598	75.2099753443916
ENSG00000156535	CD109	up	1.4483466909089127	0.08289598057121456	0.01743248479847458	231.5315142218511	339.1143614499567	123.94866699374553
ENSG00000163606	CD200R1	up	1.676135325804574	0.08289598057121456	0.014688641579602809	458.89641016339095	699.3088135188519	218.48400680792983
ENSG00000120217	CD274	up	1.0829014573283386	0.08289598057121456	0.02361279956078987	93.29148377780496	126.92728969226046	59.655677863349446
ENSG00000114013	CD86	up	1.179651649239394	0.08289598057121456	0.019631140442782156	732.4896888342837	1016.5114545888473	448.46792307972004
ENSG00000138769	CDKL2	up	1.534553213745692	0.08289598057121456	0.02290948791733032	51.74782129364263	77.18117222332954	26.31447036395572
ENSG00000099954	CECR2	up	1.39290863795762	0.08289598057121456	0.030852540366371112	9.624724816538256	14.165052077586251	5.08439755549026
ENSG00000138778	CENPE	up	1.3634155907674934	0.08289598057121456	0.017437706528804227	3025.1728754050273	4357.183817725393	1693.1619330846618
ENSG00000102384	CENPI	up	1.1290076423819406	0.08289598057121456	0.019564056016610352	1019.7223167467342	1399.7212840400434	639.723349453425
ENSG00000138180	CEP55	up	1.1110543279354508	0.08289598057121456	0.02053909840550946	2345.6288864784387	3206.8822648941023	1484.375508062775
ENSG00000153140	CETN3	up	1.4822279777715852	0.08289598057121456	0.01638901961957511	586.7238612549103	864.3773226154464	309.07039989437396
