gene_name	MM1S monoculture-1	MM1S monoculture-2	MM1S monoculture-3	MM1S cocultured-1	MM1S cocultured-2	MM1S cocultured-3
ARRDC2 (ENSG00000105643)	0.9311669452853119	0.9153204409235144	0.8054003390355763	-0.8227787473127667	-0.529416714453651	-1.2996922634779815
CACNA1C (ENSG00000151067)	0.9465619732468791	0.7671143003083786	0.9025319203059793	-0.65163075226432	-0.5660031730179326	-1.3985742685789813
MIR548I2 (ENSG00000221275)	-0.6937524185556058	-0.367763086566632	-1.479624633040471	0.722504689385227	0.8133011496518688	1.0053342991256131
ANXA3 (ENSG00000138772)	1.1940024791924584	0.08594857842101286	1.2073352608564802	-0.6695397378730086	-0.8420611910375966	-0.9756853895593463
AC091057.5 (ENSG00000284783)	-1.0694054448549906	-1.3001245407730493	-0.1531696200862899	0.739829814101176	0.8369980529497226	0.9458717386634309
EPHB4 (ENSG00000196411)	1.1520077447130568	0.5317063174245521	0.6188298729568166	-0.4253980015461637	-0.20904769345237859	-1.668098240095882
ZNF331 (ENSG00000130844)	0.10799105191498533	-1.241263639019479	-1.241263639019479	0.6578760635394361	0.8409358621087202	0.875724300475816
ADM5 (ENSG00000224420)	0.999939811639834	0.8599874922119024	0.7825176455208034	-1.2925811415706465	-0.4927563519811489	-0.8571074558207443
CCR2 (ENSG00000121807)	-0.9250026632476456	-0.8095322477412773	-0.9955907835953968	0.8210481350580289	0.9811658359835048	0.9279117235427871
AACSP1 (ENSG00000250420)	-1.2883495634776756	-0.4863011380710054	-0.8722316632130932	0.9486308302880454	0.8709081195211906	0.8273434149525367
ISYNA1 (ENSG00000105655)	0.7393059851917478	0.9106570256647938	0.987248262127694	-1.3489080096120725	-0.6388675428539269	-0.6494357205182361
SALRNA1 (ENSG00000258952)	0.7192626107497695	0.7755294630135829	1.1514098953717689	-0.6226178015733732	-0.7664645138097165	-1.2571196537520346
COL18A1 (ENSG00000182871)	0.7302256163158202	1.0357071273596838	0.9514520795689282	-0.995047299888162	-0.7731976451077756	-0.9491398782484928
SLC9A3-AS1 (ENSG00000225138)	0.8485497440835486	0.9259305163441284	0.9600987484040476	-0.8380743266973412	-0.9550649133933413	-0.9414397687410432
AC092053.3 (ENSG00000284669)	1.1827572381050784	0.7491729375725592	0.6624487025508813	-1.352875706998897	-0.6257114814420239	-0.6157916897875982
VSIG1 (ENSG00000101842)	0.830324614403145	0.9315041206843266	0.960937027244104	-1.0693191175379815	-0.894083766330341	-0.7593628784632535
MT-TY (ENSG00000210144)	0.969971437887301	0.8482187239785585	0.8997424182809668	-0.8076766257691237	-0.7919355305355079	-1.1183204238421975
MT-TT (ENSG00000210195)	0.7086414413389667	1.0193161831227917	0.990503937996185	-0.8087299469013534	-0.9632986753748977	-0.9464329401816941
ZDHHC1 (ENSG00000159714)	0.7864630015912415	0.5110023986006504	1.2826124130169991	-0.518952502697386	-0.8282912770830951	-1.2328340334284102
ZNF85 (ENSG00000105750)	-1.0837531997559575	-0.771725891163659	-0.866345986335472	0.9835508224507066	0.8447253465835287	0.893548908220851
C7orf77 (ENSG00000275356)	-0.9954380598145334	-0.4284955807839611	-1.0591019174403684	1.0269978759675433	0.18531715882536176	1.2707205232459564
STPG3 (ENSG00000197768)	0.5923534843062043	0.8607208189074701	1.1924775893975066	-1.2014743170772286	-0.7168588438453318	-0.7272187316886205
C19orf57 (ENSG00000132016)	0.8560679692650297	1.0960657911000127	0.6980216244446436	-0.7715102257932882	-0.6086631019977766	-1.2699820570186204
FGFR3 (ENSG00000068078)	1.0726661546894911	0.5665548929296542	0.8652740753996855	-0.6917655744851601	-0.3327055417010125	-1.4800240068326596
IGHA2 (ENSG00000211890)	1.1056122654811822	0.8524472487600091	0.7441479631293457	-0.8353598528876116	-0.7648816733943451	-1.1019659510885802
ZNF311 (ENSG00000197935)	-0.684156904509144	-0.1668336692098091	-1.5632072701278503	0.5798672657878068	0.7725131084089911	1.0618174696500067
SNORA75 (ENSG00000206885)	0.4563335146240595	1.1592910456387755	0.9161769880563704	-0.41165584173702496	-0.7506748241418142	-1.369470882440369
EGR1 (ENSG00000120738)	0.507944771361933	1.1273367555340543	0.950534870271094	-1.3038290383160576	-0.7924391382277731	-0.48954822062324876
DISP3 (ENSG00000204624)	0.902920917211111	0.8182448897016573	1.0056023321304701	-0.8979520642185354	-1.0270380510645571	-0.8017780237601403
SLC37A1 (ENSG00000160190)	0.8858374109777218	0.8657236273748034	0.9763128554163938	-0.7628322729549387	-0.9857245768447082	-0.9793170439692702
SSPO (ENSG00000197558)	0.6376200004398992	1.0933256548809551	0.9575558076760367	-0.6997557751541098	-1.0779006006429888	-0.9108450871997945
HNRNPA3P10 (ENSG00000257851)	-0.4246477069319517	-1.1985822749689237	-0.9742360925295533	1.0833947033194167	0.518300738856302	0.9957706322547109
SERPINB10 (ENSG00000242550)	0.6878742382242232	1.1732186430948321	0.8060816361224638	-1.1772063344756605	-0.6959835979477538	-0.793984585018107
AC009302.1 (ENSG00000233868)	-0.7881005454580072	-0.6570559459408971	-1.2005468365570384	0.6361034358265201	0.8023291295357723	1.2072707625936518
LRRC3 (ENSG00000160233)	1.0852384677010032	0.8435188758577326	0.7418196155950052	-0.5409370981715722	-1.073219909413893	-1.0564199515682757
AL353692.1 (ENSG00000217653)	1.0882438319038394	0.697220788369551	0.8836306697209503	-0.636801853655427	-0.8184342152706875	-1.213859221068226
C9orf116 (ENSG00000160345)	0.8923109289478525	0.7486522991019386	1.0074544616997358	-0.809420718393119	-0.5438526291604948	-1.2951443421959121
B3GNT8 (ENSG00000177191)	0.9522382137572587	0.6882646045618332	0.8529982412318238	-0.9532843940128758	-1.4013940820751833	-0.13882258346285667
KLF2 (ENSG00000127528)	0.81832135385577	0.926657203886393	0.9877546848639509	-0.8460542908934997	-0.9290098861653153	-0.9576690655472978
SIX5 (ENSG00000177045)	0.6489845869631234	0.8573309716177683	1.162614301724209	-0.6409169802059479	-1.1256708927084933	-0.9023419873906569
PFN1P1 (ENSG00000233328)	0.8285532954868924	0.8130794439239923	1.0674271761221312	-0.8699293281523105	-1.0998744495627262	-0.7392561378179784
AC024257.3 (ENSG00000269514)	-0.5794692668547288	-0.6397865356700995	-1.4013340883864938	0.8483917084459331	0.9088986564200509	0.8632995260453382
Z74021.1 (ENSG00000232346)	0.8441301092741078	0.9564143222385368	0.9305999972479088	-0.8909366811903753	-0.8207328494447013	-1.0194748981254698
ANPEP (ENSG00000166825)	1.1024222021209875	0.5036283493186761	0.7800952382165836	-0.2194055815438819	-0.5700695978188256	-1.596670610293539
