gene_id	gene_name	baseMean	mean_HUVEC_MM1S	mean_MM1S_coculture	log2FoldChange	dispersion_method_of_moments	stat	pvalue	padj	welch_logCPM_pvalue	comparison	status
ENSG00000072133	RPS6KA6	52.021799418256315	49.1389565215725	62.271652133139355	-0.33864039239564875	0.012892181052579985	-1.6346238286632022	0.10212792925309054	0.3334623004021851	0.08754448029257735	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000115392	FANCL	760.7665491225504	731.366620800091	891.742072214474	-0.28585442946198486	0.02080262820174529	-1.6343653895553485	0.10218215102074409	0.3335257352059385	0.03204650247296878	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000155755	TMEM237	459.8259213794154	491.30241210093163	436.26388638543045	0.1712252381787647	0.005749155815419955	1.6343081610847177	0.10219416092678739	0.3335257352059385	0.21639778462402914	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000206881	RNU6-190P	7.8854821056028515	11.211357683831295	5.495065737891669	0.966060856992224	0.12573846899070765	1.634249664211347	0.10220643817943079	0.3335257352059385	0.14059435771697257	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000280387	AL109806.1	15.001611297616414	15.978414775629224	10.864558673891802	0.5360358015775225	0.003217286865494914	1.6340146775542703	0.10225576872177428	0.3335257352059385	0.11926346073328713	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000209082	MT-TL1	522.8249343944774	453.55024928952054	535.0967827864475	-0.23829532675546178	0.013292620032628974	-1.6340034446455696	0.10225812731084377	0.3335257352059385	0.049130645757108835	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000196126	HLA-DRB1	163.5637926157966	55.70410887945376	136.26814371561693	-1.2829847245647306	0.43175904740080717	-1.6339886502119227	0.10226123378419145	0.3335257352059385	8.382829197907732e-05	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000254791	FAR1-IT1	18.574018941526486	29.28510998876331	15.261002984121541	0.9182319399861871	0.17911276159982542	1.633860212623043	0.10228820572837387	0.33355179797081347	0.06725063915008073	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000112167	SAYSD1	143.24779411850102	129.56815246009944	152.30585734685224	-0.23243208824939343	0.007474272287334201	-1.633546647395717	0.1023540783304883	0.33370467875726734	0.25118724949569005	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000236426	AL583824.1	6.781972935758576	10.998965110047399	4.807178270520083	1.1154871111241194	0.19840174254895548	1.6334431146404262	0.10237583551279064	0.33371370014213875	0.14527834417136845	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000124209	RAB22A	1945.7405120613116	1869.071171435077	2364.7814682979742	-0.339304481151237	0.030622099545931376	-1.6333301725348586	0.1023995742461209	0.3337291762290583	0.002015041343002905	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000260097	SPDYE6	258.3767272712866	265.6715814217965	227.8011513323252	0.22141841081345195	0.009177115152420178	1.6332305215404037	0.10242052302438924	0.33373555555490303	0.07159800364715982	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000100031	GGT1	3780.8295712520244	3800.478256888522	2912.68099620302	0.3837754333941338	0.03949816844257852	1.6330495982040094	0.10245856570896976	0.3337976223959447	0.003397659353221435	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000138459	SLC35A5	1012.4278608834777	976.6757485801751	1201.2345690561317	-0.2984283140382658	0.023147620924156988	-1.6327687404807736	0.10251764383235963	0.3338340035076497	0.017810506320798284	HUVEC_MM1S_vs_MM1S_coculture	not_significant
